TIME,TYPE,TEMPERATURE,PRESSURE,HUMIDITY
2019-06-14 13:11:46,AVG,21.00,1009.22,58.39
2019-06-14 13:12:06,AVG,21.00,1010.30,58.86
2019-06-14 13:12:26,AVG,21.00,1009.22,58.54
2019-06-14 13:12:46,AVG,21.00,1010.30,58.39
2019-06-14 13:13:06,AVG,21.00,1010.30,58.23
2019-06-14 13:13:26,AVG,21.00,1010.30,58.70
2019-06-14 13:13:46,AVG,21.00,1010.30,58.54
2019-06-14 13:14:06,AVG,21.00,1010.30,58.70
2019-06-14 13:14:26,AVG,21.00,1010.30,58.23
2019-06-14 13:14:46,AVG,21.00,1009.22,58.39
2019-06-14 13:15:06,AVG,21.00,1010.30,59.65
2019-06-14 13:15:26,AVG,21.00,1010.30,58.23
2019-06-14 13:15:46,AVG,21.00,1010.30,58.54
2019-06-14 13:16:06,AVG,21.00,1010.30,58.54
2019-06-14 13:16:26,AVG,21.00,1010.30,58.54
2019-06-14 13:16:46,AVG,21.00,1009.22,58.70
2019-06-14 13:17:06,AVG,21.00,1009.22,58.86
2019-06-14 13:17:26,AVG,21.00,1010.30,58.70
2019-06-14 13:17:46,AVG,21.00,1010.30,58.70
2019-06-14 13:18:06,AVG,21.00,1010.30,58.86
2019-06-14 13:18:26,AVG,21.00,1010.30,58.86
2019-06-14 13:18:46,AVG,20.78,1010.30,58.70
2019-06-14 13:19:06,AVG,21.00,1010.30,58.70
2019-06-14 13:19:26,AVG,21.00,1010.30,58.70
2019-06-14 13:19:46,AVG,21.00,1010.30,58.70
2019-06-14 13:20:06,AVG,21.00,1010.30,58.70
2019-06-14 13:20:26,AVG,21.00,1010.30,58.70
2019-06-14 13:20:46,AVG,21.00,1010.30,58.54
2019-06-14 13:21:06,AVG,21.00,1010.30,58.86
2019-06-14 13:21:26,AVG,21.00,1010.30,59.02
2019-06-14 13:21:46,AVG,21.00,1010.30,59.65
2019-06-14 13:22:06,AVG,21.00,1010.30,59.17
2019-06-14 13:22:26,AVG,21.00,1010.30,58.54
2019-06-14 13:22:46,AVG,21.00,1010.30,58.86
2019-06-14 13:23:06,AVG,21.00,1009.22,59.02
2019-06-14 13:23:26,AVG,21.00,1009.22,58.54
2019-06-14 13:23:46,AVG,21.00,1010.30,58.70
2019-06-14 13:24:06,AVG,21.00,1010.30,58.86
2019-06-14 13:24:26,AVG,21.00,1010.30,58.70
2019-06-14 13:24:46,AVG,21.00,1009.22,58.86
2019-06-14 13:25:06,AVG,21.00,1010.30,58.54
2019-06-14 13:25:26,AVG,21.00,1010.30,58.70
2019-06-14 13:25:46,AVG,20.78,1010.30,58.07
2019-06-14 13:26:06,AVG,20.78,1010.30,58.54
2019-06-14 13:26:26,AVG,20.78,1009.22,58.70
2019-06-14 13:26:46,AVG,20.78,1010.30,58.70
2019-06-14 13:27:06,AVG,20.78,1010.30,58.86
2019-06-14 13:27:26,AVG,20.78,1010.30,58.86
